Game,Manufacturer,Platform,Year,Genre,Publisher,NorthAmerica,Europe,Japan,RestOfWorld,Global
Mega Man Legacy Collection,Sony,PS4,2016,Platform,Capcom,0.09,0,0,0.02,0.11
Harvey Birdman: Attorney at Law,Sony,PSP,2008,Adventure,Capcom,0.09,0,0,0.02,0.11
Bodycount,Microsoft,X360,2011,Shooter,Codemasters,0.07,0.03,0,0.01,0.11
FoxKids.com Micro Maniacs Racing,Sony,PS,2000,Racing,Codemasters,0.06,0.04,0,0.01,0.11
Bodycount,Sony,PS3,2011,Shooter,Codemasters,0.05,0.05,0,0.02,0.11
Fighting Force 64,Nintendo,N64,1999,Action,Crave,0.09,0.02,0,0,0.11
Sudokuro,Nintendo,DS,2007,Puzzle,Crave,0.1,0,0,0.01,0.11
Pinball Hall of Fame: The Williams Collection,Nintendo,3DS,2011,Misc,Crave,0.1,0,0,0.01,0.11
Earth Defense Force 2025.1: The Shadow of New Despair,Sony,PS4,2015,Action,D3Publisher,0,0,0.11,0,0.11
Yogi Bear: The Video Game,Nintendo,Wii,2010,Action,D3Publisher,0.06,0.05,0,0.01,0.11
Astro Boy: The Video Game,Nintendo,Wii,2009,Action,D3Publisher,0.1,0,0,0.01,0.11
Coraline,Sony,PS2,2009,Action,D3Publisher,0.06,0.04,0,0.01,0.11
Astro Boy: The Video Game,Sony,PS2,2009,Action,D3Publisher,0.05,0.04,0,0.01,0.11
The Secret Saturdays: Beasts of the 5th Sun,Sony,PSP,2009,Action,D3Publisher,0.09,0,0,0.01,0.11
Daito Giken Koushiki Pachi-Slot Simulator: Hihouden,Sony,PS2,2006,Misc,Daito,0,0,0.11,0,0.11
Warhammer: Battle March,Microsoft,X360,2008,Strategy,Deep Silver,0.09,0.02,0,0.01,0.11
Winter Stars,Nintendo,Wii,2011,Sports,Deep Silver,0.05,0.05,0,0.01,0.11
Let's Play Garden,Nintendo,DS,2010,Simulation,Deep Silver,0.1,0,0,0.01,0.11
Silly Bandz: Play The Craze,Nintendo,DS,2010,Puzzle,Deep Silver,0.1,0,0,0.01,0.11
JASF: Jane's Advanced Strike Fighters,Sony,PS3,2011,Simulation,Deep Silver,0.07,0.03,0,0.01,0.11
Sacred 3,Sony,PS3,2014,Role-Playing,Deep Silver,0.03,0.04,0.03,0.01,0.11
NASCAR '14,Sony,PS3,2014,Racing,Deep Silver,0.09,0,0,0.02,0.11
Tournament Pool,Nintendo,Wii,2009,Sports,Destineer,0.1,0,0,0.01,0.11
Cory in the House,Nintendo,DS,2007,Action,Disney,0.1,0,0,0.01,0.11
The Cheetah Girls: Pop Star Sensations,Nintendo,DS,2007,Misc,Disney,0.1,0,0,0.01,0.11
My Boyfriend,Nintendo,DS,2008,Simulation,DTP,0.1,0,0,0.01,0.11
Ty the Tasmanian Tiger 2: Bush Rescue,Microsoft,XB,2004,Platform,EA,0.08,0.02,0,0,0.11
Mace Griffin: Bounty Hunter,Microsoft,XB,2003,Shooter,EA,0.08,0.02,0,0,0.11
Dead to Rights II,Microsoft,XB,2005,Shooter,EA,0.08,0.02,0,0,0.11
FIFA Street 2,Nintendo,GC,2006,Sports,EA,0.09,0.02,0,0,0.11
Tiger Woods PGA Tour 06,Nintendo,GC,2005,Sports,EA,0.08,0.02,0,0,0.11
NFL Head Coach 09,Microsoft,X360,2008,Sports,EA,0.11,0,0,0.01,0.11
Hasbro Family Game Night Fun Pack,Nintendo,Wii,2011,Misc,EA,0.1,0,0,0.01,0.11
Zubo,Nintendo,DS,2008,Misc,EA,0.08,0.02,0,0.01,0.11
GoldenEye: Rogue Agent,Nintendo,DS,2005,Shooter,EA,0.1,0,0,0.01,0.11
NASCAR 07,Sony,PS2,2006,Racing,EA,0.06,0.04,0,0.01,0.11
Family Game Night 4: The Game Show,Sony,PS3,2011,Misc,EA,0.08,0.02,0,0.01,0.11
FIFA Soccer 06,Sony,PSP,2005,Sports,EA,0.1,0,0,0.01,0.11
FIFA World Cup Germany 2006,Sony,PSP,2006,Sports,EA,0.1,0,0,0.01,0.11
Project: Snowblind,Microsoft,XB,2005,Action,Eidos,0.08,0.02,0,0,0.11
Bionicle Heroes,Nintendo,GC,2006,Shooter,Eidos,0.08,0.02,0,0,0.11
Death Jr.: Root of Evil,Nintendo,Wii,2008,Platform,Eidos,0.1,0,0,0.01,0.11
Monster Lab,Sony,PS2,2008,Role-Playing,Eidos,0.05,0.04,0,0.01,0.11
Hitman Trilogy,Sony,PS2,2007,Action,Eidos,0.05,0.04,0,0.01,0.11
FlatOut: Ultimate Carnage,Microsoft,X360,2007,Racing,Empire,0.07,0.02,0,0.01,0.11
Taito Legends,Sony,PS2,2005,Misc,Empire,0.06,0.04,0,0.01,0.11
Total Immersion Racing,Sony,PS2,2002,Racing,Empire,0.05,0.04,0,0.01,0.11
Murakumo: Renegade Mech Pursuit,Microsoft,XB,2002,Shooter,From Software,0.04,0.01,0.06,0,0.11
Gabrielle's Ghostly Groove 3D,Nintendo,3DS,2011,Adventure,Funbox,0.08,0.02,0,0.01,0.11
Shinseiki Evangelion: Koutetsu no Girlfriend,Sony,PS,1998,Adventure,Gainax,0,0,0.11,0.01,0.11
Guitar Rock Tour,Nintendo,DS,2007,Misc,Gameloft,0.1,0,0,0.01,0.11
Army Men: Sarge's War,Microsoft,XB,2004,Shooter,Global Star,0.09,0.02,0,0,0.11
Spy vs Spy,Microsoft,XB,2005,Action,Global Star,0.08,0.02,0,0,0.11
Charlie and the Chocolate Factory,Microsoft,XB,2005,Adventure,Global Star,0.08,0.02,0,0,0.11
Robotech: Invasion,Sony,PS2,2004,Shooter,Global Star,0.05,0.04,0,0.01,0.11
Breakout,Sony,PS,1999,Puzzle,Hasbro,0.06,0.04,0,0.01,0.11
Hyper Formation Soccer,Sony,PS,1995,Sports,Human Entertainment,0,0,0.1,0.01,0.11
Code:Realize - Sousei no Himegimi,Sony,PSV,2014,Adventure,Idea Factory,0.06,0,0.03,0.02,0.11
Fairy Fencer F: Advent Dark Force,Sony,PS4,2015,Role-Playing,Idea Factory International,0.05,0,0.06,0.01,0.11
The King of Fighters XII,Microsoft,X360,2009,Fighting,Ignition,0.09,0,0.01,0.01,0.11
The King of Fighters Collection: The Orochi Saga,Nintendo,Wii,2008,Fighting,Ignition,0.1,0,0,0.01,0.11
The King of Fighters 2000/2001,Sony,PS2,2003,Fighting,Ignition,0.05,0.04,0,0.01,0.11
Chopper Attack,Nintendo,N64,1997,Action,Infogrames,0.09,0.02,0,0,0.11
Maximum Force,Sony,PS,1997,Shooter,Infogrames,0.06,0.04,0,0.01,0.11
Hexen: Beyond Heretic,Sony,PS,1997,Shooter,Infogrames,0.06,0.04,0,0.01,0.11
Batman: Dark Tomorrow,Microsoft,XB,2003,Action,Kemco,0.08,0.02,0,0,0.11
Top Gear Rally 2,Nintendo,N64,1999,Racing,Kemco,0.09,0.02,0,0,0.11
Contra Advance: The Alien Wars EX,Nintendo,GBA,2002,Shooter,Konami,0.08,0.03,0,0,0.11
Tokimeki Memorial: Girl's Side 2nd Season,Nintendo,DS,2008,Adventure,Konami,0,0,0.11,0,0.11
Kirarin * Revolution: Kira Kira Idol Audition,Nintendo,DS,2006,Simulation,Konami,0,0,0.11,0,0.11
Jikkyou Powerful Pro Yakyuu 12 Ketteiban,Sony,PS2,2005,Sports,Konami,0,0,0.11,0,0.11
J-League Winning Eleven 9: Asia Championship,Sony,PS2,2005,Sports,Konami,0,0,0.11,0,0.11
MLB Power Pros,Sony,PS2,2007,Sports,Konami,0,0,0.11,0,0.11
Jikkyou Powerful Pro Yakyuu 13 Ketteiban,Sony,PS2,2006,Sports,Konami,0,0,0.11,0,0.11
Pro Yaky? Spirits 5,Sony,PS3,2008,Sports,Konami,0,0,0.11,0,0.11
Frontier Gate,Sony,PSP,2011,Role-Playing,Konami,0,0,0.11,0,0.11
Busou Shinki: Battle Masters Mk. 2,Sony,PSP,2011,Action,Konami,0,0,0.11,0,0.11
Fairy Tail: Portable Guild,Sony,PSP,2010,Fighting,Konami,0,0,0.11,0,0.11
Karaoke Revolution Presents American Idol Encore,Microsoft,X360,2008,Misc,Konami,0.1,0,0,0.01,0.11
Hellboy: The Science of Evil,Microsoft,X360,2008,Action,Konami,0.1,0,0,0.01,0.11
Calling,Nintendo,Wii,2009,Adventure,Konami,0.06,0.04,0,0.01,0.11
Yard Sale Hidden Treasures: Sunnyville,Nintendo,DS,2010,Puzzle,Konami,0.1,0,0,0.01,0.11
Lost in Blue,Nintendo,DS,2005,Adventure,Konami,0.07,0.02,0.02,0.01,0.11
International Track & Field 2000,Sony,PS,1999,Sports,Konami,0.06,0.04,0,0.01,0.11
Jikkyou Powerful Pro Yakyuu '95,Sony,PS,1994,Sports,Konami,0,0,0.11,0.01,0.11
Goal Storm '97,Sony,PS,1996,Sports,Konami,0.01,0,0.09,0.01,0.11
Metal Gear Solid Integral,Sony,PS,1999,Adventure,Konami,0,0,0.1,0.01,0.11
Woody Woodpecker Racing,Sony,PS,1999,Racing,Konami,0.06,0.04,0,0.01,0.11
Ring of Red,Sony,PS2,2000,Strategy,Konami,0.06,0.04,0,0.01,0.11
AirForce Delta Strike,Sony,PS2,2004,Simulation,Konami,0.05,0.04,0,0.01,0.11
Karaoke Revolution Presents American Idol Encore 2,Sony,PS3,2008,Misc,Konami,0.11,0,0,0.01,0.11
Lucha Libre AAA: Heroes del Ring,Sony,PS3,2010,Fighting,Konami,0.1,0,0,0.01,0.11
Frogger: Helmet Chaos,Sony,PSP,2005,Platform,Konami,0.1,0,0,0.01,0.11
Rengoku: The Tower of Purgatory,Sony,PSP,2005,Action,Konami,0.1,0,0,0.01,0.11
Shadow of Destiny,Sony,PSP,2009,Adventure,Konami,0.09,0,0,0.02,0.11
Adventure Time: Finn & Jake Investigations,Microsoft,X360,2015,Action,Little Orbit,0.04,0.06,0,0.01,0.11
Adventure Time: Finn & Jake Investigations,Sony,PS3,2015,Action,Little Orbit,0.04,0.06,0,0.02,0.11
Night at the Museum: Battle of the Smithsonian,Microsoft,X360,2009,Action,Majesco,0.07,0.03,0,0.01,0.11
Escape The Museum,Nintendo,Wii,2009,Adventure,Majesco,0.1,0.01,0,0.01,0.11
Cake Mania,Nintendo,DS,2007,Puzzle,Majesco,0.09,0.01,0,0.01,0.11
ATV: Quad Frenzy,Nintendo,DS,2005,Racing,Majesco,0.1,0,0,0.01,0.11
Smash Cars,Sony,PS2,2003,Racing,Metro 3D,0.06,0.04,0,0.01,0.11
Phantom Dust,Microsoft,XB,2004,Action,Microsoft,0.08,0.02,0,0,0.11
NHL Rivals 2004,Microsoft,XB,2003,Sports,Microsoft,0.08,0.02,0,0,0.11
Killer Instinct (2013),Microsoft,XOne,2013,Fighting,Microsoft,0.07,0.03,0,0.01,0.11
NHL Hitz 20-03,Microsoft,XB,2002,Sports,Midway,0.08,0.02,0,0,0.11
Mortal Kombat: Deception,Nintendo,GC,2005,Fighting,Midway,0.09,0.02,0,0,0.11
Defender,Nintendo,GC,2002,Misc,Midway,0.08,0.02,0,0,0.11
Mechanic Master,Nintendo,DS,2008,Puzzle,Midway,0.1,0,0,0.01,0.11
Arcade Party Pak,Sony,PS,1999,Misc,Midway,0.06,0.04,0,0.01,0.11
Ride,Microsoft,XOne,2015,Racing,Milestone,0.05,0.05,0,0.01,0.11
Rock Band: Metal Track Pack,Nintendo,Wii,2009,Misc,MTV,0.1,0,0,0.01,0.11
Rock Band: Metal Track Pack,Sony,PS2,2009,Misc,MTV,0.05,0.04,0,0.01,0.11
Rock Band Track Pack: Classic Rock,Sony,PS3,2009,Misc,MTV,0.1,0,0,0.01,0.11
Dragon Ball Z Super Gokuden: Kakusei-Hen,Nintendo,SNES,1995,Role-Playing,Namco Bandai,0,0,0.11,0,0.11
Mobile Suit Gundam: MS Sensen 0079,Nintendo,Wii,2007,Simulation,Namco Bandai,0,0,0.11,0,0.11
Retro Game Challenge,Nintendo,DS,2007,Action,Namco Bandai,0,0,0.11,0,0.11
Heart Catch PreCure! Oshare Collection,Nintendo,DS,2010,Action,Namco Bandai,0,0,0.11,0,0.11
Tales of the World: Reve Unitia,Nintendo,3DS,2014,Role-Playing,Namco Bandai,0,0,0.11,0,0.11
Pro Baseball Famista Climax,Nintendo,3DS,2017,Sports,Namco Bandai,0,0,0.11,0,0.11
Kamen Rider: Climax Heroes,Sony,PS2,2009,Fighting,Namco Bandai,0,0,0.11,0,0.11
Sword Art Online: Lost Song,Sony,PS3,2015,Role-Playing,Namco Bandai,0,0,0.11,0,0.11
Kamen Rider: Battride War II,Sony,PS3,2014,Action,Namco Bandai,0,0,0.11,0,0.11
The Idolmaster: Platinum Stars,Sony,PS4,2016,Simulation,Namco Bandai,0,0,0.11,0,0.11
SD Gundam G Generation Genesis,Sony,PS4,2016,Strategy,Namco Bandai,0,0,0.11,0,0.11
Super Robot Wars OG: The Moon Dwellers,Sony,PS4,2016,Misc,Namco Bandai,0,0,0.11,0,0.11
Gundam Breaker 3,Sony,PS4,2016,Action,Namco Bandai,0,0,0.11,0,0.11
Queen's Blade: Spiral Chaos,Sony,PSP,2009,Role-Playing,Namco Bandai,0,0,0.11,0,0.11
Tales of Phantasia (PS1 & PSP Versions),Sony,PSP,2006,Role-Playing,Namco Bandai,0,0,0.11,0,0.11
My Little Sister Can't Be This Cute Portable,Sony,PSP,2012,Action,Namco Bandai,0,0,0.11,0,0.11
Kotoba no Puzzle: Mojipittan Daijiten,Sony,PSP,2004,Puzzle,Namco Bandai,0,0,0.11,0,0.11
Kuroko's Basketball: Miracle Game,Sony,PSP,2012,Sports,Namco Bandai,0,0,0.11,0,0.11
Mobile Suit Gundam Age: Universe Accel / Cosmic Drive,Sony,PSP,2012,Action,Namco Bandai,0,0,0.11,0,0.11
Digimon World: Next Order,Sony,PSV,2016,Action,Namco Bandai,0,0,0.11,0,0.11
Taiko no Tatsujin: V Version,Sony,PSV,2015,Action,Namco Bandai,0,0,0.11,0,0.11
Ridge Racer Unbounded,Microsoft,X360,2012,Racing,Namco Bandai,0.05,0.05,0,0.01,0.11
Pac-Man and the Ghostly Adventures 2,Microsoft,X360,2014,Adventure,Namco Bandai,0.05,0.04,0,0.01,0.11
Pac-Man Championship Edition 2 + Arcade Game Series,Microsoft,XOne,2016,Action,Namco Bandai,0.1,0,0,0.01,0.11
Pac 'n Roll,Nintendo,DS,2005,Platform,Namco Bandai,0.09,0,0.02,0.01,0.11
DualPenSports,Nintendo,3DS,2011,Sports,Namco Bandai,0.05,0.05,0,0.01,0.11
InuYasha: A Feudal Fairy Tale,Sony,PS,2002,Fighting,Namco Bandai,0,0,0.1,0.01,0.11
Digimon Digital Card Battle,Sony,PS,1999,Strategy,Namco Bandai,0.06,0.04,0,0.01,0.11
Naruto Ultimate Collection,Sony,PS2,2008,Misc,Namco Bandai,0.06,0.04,0,0.01,0.11
Ninja Assault,Sony,PS2,2002,Shooter,Namco Bandai,0.05,0.04,0,0.01,0.11
Dragon Ball Z: Battle of Z,Sony,PSV,2014,Fighting,Namco Bandai,0,0.04,0.06,0.01,0.11
Pac-Man and the Ghostly Adventures 2,Sony,PS3,2014,Adventure,Namco Bandai,0.06,0.03,0,0.02,0.11
Valentino Rossi: The Game,Sony,PS4,2016,Racing,Namco Bandai,0.04,0.05,0,0.02,0.11
Digimon Story: Cyber Sleuth,Sony,PS4,2016,Role-Playing,Namco Bandai,0,0.1,0,0.02,0.11
Zangeki no Reginleiv,Nintendo,Wii,2010,Action,Nintendo,0,0,0.11,0,0.11
Fatal Frame 2: Wii Edition,Nintendo,Wii,2012,Action,Nintendo,0,0,0.1,0,0.11
Odama,Nintendo,GC,2006,Misc,Nintendo,0.07,0.02,0.02,0,0.11
Famicom Mini: Famicom Tantei Club - Kieta Koukeisha Zenkouhen,Nintendo,GBA,2004,Adventure,Nintendo,0,0,0.11,0,0.11
Dynasty Warriors Advance,Nintendo,GBA,2005,Action,Nintendo,0.08,0.03,0,0,0.11
Kousoku Card Battle: Card Hero,Nintendo,DS,2007,Strategy,Nintendo,0,0,0.11,0,0.11
Soma Bringer,Nintendo,DS,2008,Role-Playing,Nintendo,0,0,0.11,0,0.11
Irozuki Tingle no Koi no Balloon Trip,Nintendo,DS,2009,Adventure,Nintendo,0,0,0.11,0,0.11
Mega Man Battle Network 5: Double Team DS (JP sales),Nintendo,DS,2005,Role-Playing,Nintendo,0,0,0.11,0,0.11
Pokemon Rumble World,Nintendo,3DS,2015,Action,Nintendo,0,0.02,0.09,0,0.11
Metroid Prime: Federation Force,Nintendo,3DS,2016,Action,Nintendo,0.05,0.02,0.03,0.01,0.11
Ys VIII: Lacrimosa of Dana,Sony,PSV,2016,Role-Playing,Nippon,0,0,0.11,0,0.11
A Witch's Tale,Nintendo,DS,2009,Role-Playing,Nippon,0.08,0,0.03,0.01,0.11
The Witch and the Hundred Knight,Sony,PS4,2015,Role-Playing,Nippon,0.03,0.01,0.06,0.01,0.11
Grand Kingdom,Sony,PS4,2015,Role-Playing,Nippon,0.05,0,0.04,0.01,0.11
Mana Khemia: Student Alliance,Sony,PSP,2008,Role-Playing,Nippon,0.06,0,0.03,0.01,0.11
"Prinny 2: Dawn of Operation Panties, Dood!",Sony,PSP,2010,Platform,Nippon,0.06,0,0.03,0.01,0.11
Get Up and Dance,Nintendo,Wii,2011,Misc,O-Games,0.06,0.04,0,0.01,0.11
PDC World Championship Darts: Pro Tour,Nintendo,Wii,2010,Sports,O-Games,0,0.1,0,0.01,0.11
John Daly's ProStroke Golf,Sony,PS3,2010,Sports,O-Games,0.09,0.01,0,0.01,0.11
Pocket Pets,Nintendo,DS,2007,Simulation,O3 Entertainment,0.1,0,0,0.01,0.11
Hysteria Hospital: Emergency Ward,Nintendo,DS,2009,Action,Oxygen,0.1,0,0,0.01,0.11
Railroad Tycoon II,Sony,PS,1999,Strategy,PopTop,0.06,0.04,0,0.01,0.11
Jake Hunter Detective Story: Memories of the Past,Nintendo,DS,2007,Adventure,PQube,0.06,0,0.05,0,0.11
BlazBlue: Continuum Shift II,Nintendo,3DS,2011,Fighting,PQube,0.05,0.02,0.04,0.01,0.11
BlazBlue: Calamity Trigger Portable,Sony,PSP,2010,Fighting,PQube,0.07,0.01,0.03,0.01,0.11
Blazblue: Continuum Shift Extend,Sony,PSV,2011,Fighting,PQube,0.03,0.05,0.02,0.02,0.11
Gun Metal,Microsoft,XB,2002,Shooter,Rage,0.08,0.02,0,0,0.11
Sniper Elite,Nintendo,Wii,2010,Shooter,Reef Entertainment,0.07,0.02,0,0.01,0.11
Super Swing Golf Season 2,Nintendo,Wii,2007,Sports,Rising Star,0.08,0,0.03,0.01,0.11
Master of the Monster Lair,Nintendo,DS,2007,Role-Playing,Rising Star,0.1,0,0,0.01,0.11
Constantine,Sony,PS2,2005,Action,SCi,0.05,0.04,0,0.01,0.11
ToeJam & Earl III: Mission to Earth,Microsoft,XB,2002,Action,Sega,0.09,0.02,0,0,0.11
ESPN NHL Hockey,Microsoft,XB,2003,Sports,Sega,0.08,0.02,0,0,0.11
Home Run King,Nintendo,GC,2002,Sports,Sega,0.09,0.02,0,0,0.11
Kouchuu Ouja Mushi King: Super Collection,Nintendo,DS,2007,Action,Sega,0,0,0.11,0,0.11
Pro Yakyuu Team o Tsukurou! 2,Nintendo,DS,2009,Sports,Sega,0,0,0.11,0,0.11
Puyo Puyo Tetris,Nintendo,3DS,2014,Puzzle,Sega,0,0,0.11,0,0.11
Sakura Wars,Sega,DC,2000,Adventure,Sega,0,0,0.11,0,0.11
Melty Blood: Act Cadenza,Sony,PS2,2006,Fighting,Sega,0,0,0.11,0,0.11
Yakuza,Sony,PS3,2012,Action,Sega,0,0,0.11,0,0.11
Shining Ark,Sony,PSP,2013,Role-Playing,Sega,0,0,0.11,0,0.11
Planet 51,Microsoft,X360,2009,Action,Sega,0.07,0.03,0,0.01,0.11
The Hardy Boys: Treasure on the Tracks,Nintendo,DS,2009,Adventure,Sega,0.1,0,0,0.01,0.11
Shining Force NEO,Sony,PS2,2005,Role-Playing,Sega,0.06,0.04,0,0.01,0.11
Planet 51,Sony,PS3,2009,Action,Sega,0.07,0.03,0,0.01,0.11
Outlaw Golf: Nine Holes of Christmas,Microsoft,XB,2002,Sports,Simon And Schuster,0.08,0.02,0,0,0.11
The King of Fighters '99,Sony,PS,2000,Fighting,SNK,0,0,0.11,0.01,0.11
Metal Slug 4 & 5,Sony,PS2,2005,Shooter,SNK,0.05,0.04,0,0.01,0.11
Brave Story: New Traveler (US sales),Sony,PSP,2006,Role-Playing,Sony,0.11,0,0,0,0.11
Go! Sudoku (JP sales),Sony,PSP,2005,Puzzle,Sony,0,0,0.11,0,0.11
Yuusha no Kuse ni Namaikida Or 3D,Sony,PSP,2010,Strategy,Sony,0,0,0.11,0,0.11
Victory Zone,Sony,PS,1995,Misc,Sony,0,0,0.1,0.01,0.11
Carnage Heart,Sony,PS,1995,Strategy,Sony,0.01,0.01,0.09,0.01,0.11
Project: Horned Owl,Sony,PS,1995,Shooter,Sony,0.03,0.02,0.05,0.01,0.11
Jampack Volume 14 (RP-T),Sony,PS2,2006,Misc,Sony,0.05,0.04,0,0.01,0.11
SingStar Latino,Sony,PS3,2009,Misc,Sony,0.11,0,0,0.01,0.11
Invizimals: The Lost Tribes,Sony,PSP,2011,Action,Sony,0,0.07,0,0.03,0.11
Monster Madness: Battle for Suburbia,Microsoft,X360,2007,Shooter,SouthPeak,0.1,0,0,0.01,0.11
Dementium II,Nintendo,DS,2010,Shooter,SouthPeak,0.09,0.01,0,0.01,0.11
Mushroom Men: Rise of the Fungi,Nintendo,DS,2008,Action,SouthPeak,0.1,0,0,0.01,0.11
BoomBots,Sony,PS,1999,Fighting,SouthPeak,0.06,0.04,0,0.01,0.11
Final Fantasy I & II,Nintendo,NES,1994,Role-Playing,Square,0,0,0.11,0,0.11
Final Fantasy XII International Zodiac Job System,Sony,PS2,2007,Role-Playing,Square,0,0,0.11,0,0.11
Final Fantasy III,Sony,PSP,2012,Role-Playing,Square,0,0,0.11,0,0.11
Dragon Quest & Final Fantasy in Itadaki Street Portable,Sony,PSP,2006,Misc,Square,0,0,0.11,0,0.11
SaGa: Scarlet Grace,Sony,PSV,2016,Action,Square,0,0,0.11,0,0.11
Deus Ex: Human Revolution,Nintendo,WiiU,2013,Shooter,Square,0.05,0.05,0,0.01,0.11
Black Bass with Blue Marlin,Sony,PS,1999,Sports,Starfish,0.06,0.04,0,0.01,0.11
Dokapon Kingdom,Sony,PS2,2007,Role-Playing,Sting,0.05,0.04,0.02,0.01,0.11
ATV Quad Kings,Nintendo,DS,2010,Racing,Storm City,0.1,0,0,0.01,0.11
Chameleon Twist,Nintendo,N64,1997,Platform,Sunsoft,0.09,0.02,0,0,0.11
GunGriffon Blaze,Sony,PS2,2000,Simulation,Swing,0.05,0.04,0,0.01,0.11
Tyco RC: Assault with a Battery,Sony,PS,1999,Racing,Syscom,0.06,0.04,0,0.01,0.11
Pinball Hall of Fame: The Williams Collection,Sony,PSP,2008,Misc,System 3,0.09,0.01,0,0.01,0.11
Mobile Light Force 2,Sony,PS2,2002,Shooter,Taito,0.05,0.04,0,0.01,0.11
Naruto Shippuden: Naruto vs. Sasuke,Nintendo,DS,2008,Action,Takara,0.07,0,0.03,0,0.11
Fantastic Four: Rise of the Silver Surfer,Microsoft,X360,2007,Action,Take-Two,0.1,0.01,0,0.01,0.11
Nickelodeon Dance,Microsoft,X360,2011,Misc,Take-Two,0.08,0.02,0,0.01,0.11
Martian Gothic: Unification,Sony,PS,2001,Adventure,Take-Two,0.06,0.04,0,0.01,0.11
"Grand Theft Auto: Mission Pack #1, London 1969",Sony,PS,1998,Adventure,Take-Two,0.06,0.04,0,0.01,0.11
The BIGS,Sony,PSP,2007,Sports,Take-Two,0.1,0,0,0.01,0.11
Beaterator,Sony,PSP,2009,Misc,Take-Two,0.07,0.02,0,0.02,0.11
Major League Baseball 2K12,Sony,PSP,2012,Sports,Take-Two,0.09,0,0,0.02,0.11
Lady Sia,Nintendo,GBA,2001,Platform,TDK,0.08,0.03,0,0,0.11
DOA 2: Dead or Alive 2 Hardcore,Sony,PS2,2000,Fighting,Tecmo Koei,0,0,0.11,0,0.11
Shin Sangoku Musou: Multi Raid 2,Sony,PSP,2010,Action,Tecmo Koei,0,0,0.11,0,0.11
Shin Sangoku Musou 6 Special,Sony,PSP,2011,Action,Tecmo Koei,0,0,0.11,0,0.11
Samurai Warriors 4,Sony,PSV,2014,Action,Tecmo Koei,0,0,0.11,0,0.11
Tecmo Bowl: Kickoff,Nintendo,DS,2008,Sports,Tecmo Koei,0.11,0,0,0.01,0.11
Naval Ops: Warship Gunner,Sony,PS2,2003,Simulation,Tecmo Koei,0.05,0.04,0,0.01,0.11
Dynasty Tactics 2,Sony,PS2,2003,Strategy,Tecmo Koei,0.05,0.04,0,0.01,0.11
Prinny: Can I Really Be the Hero?,Sony,PSP,2008,Platform,Tecmo Koei,0.04,0,0.05,0.01,0.11
7 Days to Die,Microsoft,XOne,2016,Action,Telltale,0.08,0.02,0,0.01,0.11
The Hardy Boys: The Hidden Theft,Nintendo,Wii,2009,Adventure,The Adventure Company,0.07,0.03,0,0.01,0.11
Stubbs the Zombie in Rebel Without a Pulse,Microsoft,XB,2005,Action,THQ,0.08,0.02,0,0,0.11
The Fairly Odd Parents: Breakin Da Rules,Microsoft,XB,2003,Platform,THQ,0.08,0.02,0,0,0.11
Nuclear Strike 64,Nintendo,N64,1999,Simulation,THQ,0.09,0.02,0,0,0.11
Hot Wheels Velocity X,Nintendo,GC,2002,Racing,THQ,0.09,0.02,0,0,0.11
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,Nintendo,GC,2003,Action,THQ,0.09,0.02,0,0,0.11
The Polar Express,Nintendo,GC,2004,Adventure,THQ,0.08,0.02,0,0,0.11
GT Advance 2: Rally Racing,Nintendo,GBA,2001,Racing,THQ,0.08,0.03,0,0,0.11
LEGO Knights' Kingdom,Nintendo,GBA,2004,Action,THQ,0.08,0.03,0,0,0.11
Shin Kamaitachi no Yoru: 11 Hitome no Suspect,Sony,PS3,2011,Adventure,THQ,0,0,0.11,0,0.11
Truth or Lies,Microsoft,X360,2010,Misc,THQ,0.07,0.03,0,0.01,0.11
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,Microsoft,X360,2011,Action,THQ,0.07,0.03,0,0.01,0.11
Tetris Evolution,Microsoft,X360,2007,Puzzle,THQ,0.08,0.02,0,0.01,0.11
Merv Griffin's Crosswords,Nintendo,Wii,2008,Puzzle,THQ,0.11,0,0,0.01,0.11
Paws & Claws: Pet Resort,Nintendo,Wii,2009,Simulation,THQ,0.1,0,0,0.01,0.11
Girl Time,Nintendo,DS,2009,Simulation,THQ,0.11,0,0,0.01,0.11
Ping Pals,Nintendo,DS,2004,Misc,THQ,0.1,0,0,0.01,0.11
Just In Time Translations,Nintendo,DS,2009,Misc,THQ,0.1,0,0,0.01,0.11
Desktop Tower Defense,Nintendo,DS,2009,Strategy,THQ,0.1,0,0,0.01,0.11
Puss in Boots,Nintendo,DS,2011,Action,THQ,0.09,0.01,0,0.01,0.11
de Blob 2,Nintendo,DS,2011,Platform,THQ,0.08,0.02,0,0.01,0.11
Paws & Claws Pet Vet: Australian Adventures,Nintendo,DS,2009,Simulation,THQ,0.1,0,0,0.01,0.11
Nicktoons: Unite!,Nintendo,DS,2006,Adventure,THQ,0.1,0,0,0.01,0.11
Brunswick Circuit Pro Bowling 2,Sony,PS,2000,Sports,THQ,0.06,0.04,0,0.01,0.11
WWE All Stars,Sony,PS2,2011,Fighting,THQ,0.05,0.04,0,0.01,0.11
Avatar: The Last Airbender,Sony,PSP,2006,Adventure,THQ,0.1,0,0,0.01,0.11
