Game,Manufacturer,Platform,Year,Genre,Publisher,NorthAmerica,Europe,Japan,RestOfWorld,Global
Super Mario Sunshine,Nintendo,GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31
Street Fighter II: The World Warrior,Nintendo,SNES,1992,Fighting,Capcom,2.47,0.83,2.87,0.12,6.3
Driver,Sony,PS,1999,Action,Infogrames,3.11,2.8,0.02,0.33,6.27
Gears of War 3,Microsoft,X360,2011,Shooter,Microsoft,4.05,1.59,0.07,0.5,6.21
Kinect Sports,Microsoft,X360,2010,Sports,Microsoft,3.92,1.73,0.03,0.51,6.19
FIFA 15,Sony,PS4,2014,Sports,EA,0.81,4.33,0.05,0.91,6.1
Gears of War,Microsoft,X360,2006,Shooter,Microsoft,3.54,1.88,0.07,0.6,6.09
Metal Gear Solid 2: Sons of Liberty,Sony,PS2,2001,Action,Konami,2.45,2.01,0.87,0.72,6.05
Metal Gear Solid,Sony,PS,1998,Action,Konami,3.18,1.83,0.78,0.24,6.03
Sonic the Hedgehog 2,Sega,GEN,1992,Platform,Sega,4.47,1.2,0.16,0.19,6.03
Metal Gear Solid 4: Guns of the Patriots,Sony,PS3,2008,Action,Konami,2.63,1.71,0.83,0.82,5.99
Final Fantasy XII,Sony,PS2,2006,Role-Playing,Square,1.88,0,2.33,1.74,5.95
The Last of Us,Sony,PS3,2013,Action,Sony,2.41,2.2,0.29,0.99,5.9
LittleBigPlanet,Sony,PS3,2008,Platform,Sony,2.8,1.98,0.17,0.87,5.82
Resident Evil 2,Sony,PS,1998,Action,Virgin,1.88,1.47,2.02,0.45,5.82
Dragon Quest IX: Sentinels of the Starry Skies,Nintendo,DS,2009,Role-Playing,Nintendo,0.63,0.67,4.35,0.15,5.79
Tekken 2,Sony,PS,1996,Fighting,Sony,2.26,1.89,1.36,0.23,5.74
Destiny,Sony,PS4,2014,Shooter,Activision,2.51,2.07,0.16,0.93,5.67
Cooking Mama,Nintendo,DS,2006,Simulation,505 Games,3.08,1.91,0.07,0.58,5.65
LEGO Star Wars: The Complete Saga,Nintendo,Wii,2007,Action,LucasArts,3.57,1.56,0,0.51,5.64
The Last of Us,Sony,PS4,2014,Action,Sony,2.28,2.36,0.08,0.92,5.64
Tomodachi Life,Nintendo,3DS,2013,Simulation,Nintendo,1.02,2.39,1.96,0.26,5.63
Minecraft,Sony,PS3,2014,Misc,Sony,2.14,2.53,0,0.92,5.6
Tetris,Nintendo,NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58
Super Smash Bros.,Nintendo,N64,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55
Assassin's Creed II,Sony,PS3,2009,Action,Ubisoft,2.54,1.93,0.21,0.86,5.55
Assassin's Creed,Microsoft,X360,2007,Adventure,Ubisoft,3.28,1.64,0.07,0.56,5.54
Forza Motorsport 3,Microsoft,X360,2009,Racing,Microsoft,2.99,1.9,0.1,0.5,5.49
Super Mario Advance,Nintendo,GBA,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49
Batman: Arkham City,Sony,PS3,2011,Action,Warner Bros,2.72,1.85,0.11,0.81,5.49
Monster Hunter Freedom Unite,Sony,PSP,2008,Role-Playing,Capcom,0.47,0.55,4.13,0.34,5.48
Mario Kart: Super Circuit,Nintendo,GBA,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47
New Super Mario Bros. U,Nintendo,WiiU,2012,Platform,Nintendo,2.3,1.55,1.3,0.33,5.47
Super Mario World,Nintendo,GBA,2001,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46
Pokemon Stadium,Nintendo,N64,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45
Crash Bandicoot: The Wrath of Cortex,Sony,PS2,2001,Platform,Universal,2.07,2.29,0.24,0.82,5.42
Call of Duty: World at War,Sony,PS3,2008,Shooter,Activision,2.74,1.83,0,0.84,5.41
